source,id,confidence,n_load_bearing_walls,n_annotated_columns,n_derived_columns,n_columns,n_lines_x,n_lines_y,footprint_x,footprint_y,area,span_x_mean,span_x_min,span_x_max,span_x_std,span_y_mean,span_y_min,span_y_max,span_y_std,cols_per_karea,aspect_ratio,cov_x,cov_y,regularity,perimeter_cols,interior_cols,interior_ratio,span_ratio_xy
Swiss,4139,verified,73,0,60,60,11,13,17.93,26.7,478.731,1.793,0.86,5.49,1.44,2.225,0.79,6.92,1.688,125.331,0.672,0.803,0.759,0.39,16,44,0.733,0.806
Swiss,4143,verified,28,0,32,32,8,8,15.06,15.81,238.099,2.151,0.46,5.15,1.457,2.259,0.48,7.03,2.077,134.398,0.953,0.677,0.92,0.385,8,24,0.75,0.953
Swiss,43696,verified,151,19,17,25,17,10,111.79,13.01,1454.388,6.987,0.02,23.03,5.514,1.446,0.01,3.5,1.379,17.189,8.593,0.789,0.954,0.365,11,14,0.56,4.833
Swiss,43698,verified,145,0,18,18,9,2,100.88,3.31,333.913,12.61,9.9,16.99,3.375,3.31,3.31,3.31,0.0,53.906,30.477,0.268,0.0,0.789,18,0,0.0,3.81
Swiss,43695,verified,79,9,15,17,7,5,111.53,12.93,1442.083,18.588,3.12,71.6,23.895,3.232,0.07,5.66,2.434,11.789,8.626,1.285,0.753,0.329,12,5,0.294,5.75
Swiss,8211,verified,42,0,91,91,11,13,22.65,13.06,295.809,2.265,0.82,5.88,1.562,1.088,0.45,2.13,0.507,307.631,1.734,0.69,0.466,0.464,25,66,0.725,2.081
Swiss,8210,verified,61,0,89,89,12,9,25.06,16.46,412.488,2.278,0.4,7.45,2.153,2.058,0.68,3.52,0.858,215.764,1.522,0.945,0.417,0.423,34,55,0.618,1.107
Swiss,6114,verified,42,2,42,44,11,7,24.57,14.46,355.282,2.457,0.23,7.8,2.201,2.41,0.02,4.29,1.387,123.845,1.699,0.896,0.576,0.405,11,33,0.75,1.02
Swiss,6067,verified,468,0,47,47,14,4,43.49,15.26,663.657,3.345,1.05,7.5,1.836,5.087,4.27,6.28,0.863,70.82,2.85,0.549,0.17,0.582,25,22,0.468,0.658
Swiss,6072,verified,41,2,42,44,11,7,24.52,14.45,354.314,2.452,0.22,7.81,2.209,2.408,0.02,4.29,1.385,124.184,1.697,0.901,0.575,0.404,11,33,0.75,1.018
Swiss,6040,verified,93,0,54,54,13,5,43.92,15.41,676.807,3.66,1.2,7.56,1.867,3.852,0.88,6.35,2.005,79.786,2.85,0.51,0.521,0.492,28,26,0.481,0.95
Swiss,6066,verified,462,0,49,49,14,4,43.49,15.25,663.222,3.345,1.05,7.5,1.836,5.083,4.27,6.28,0.864,73.882,2.852,0.549,0.17,0.582,27,22,0.449,0.658
Swiss,9314,verified,132,0,49,49,13,5,29.74,13.32,396.137,2.478,1.1,3.56,0.825,3.33,1.88,5.28,1.439,123.695,2.233,0.333,0.432,0.567,29,20,0.408,0.744
Swiss,9310,verified,132,0,38,38,11,4,25.54,15.28,390.251,2.554,1.49,3.38,0.732,5.093,2.16,8.0,2.384,97.373,1.671,0.287,0.468,0.57,24,14,0.368,0.501
Swiss,9312,verified,132,0,49,49,13,5,29.75,13.32,396.27,2.479,1.11,3.56,0.824,3.33,1.88,5.27,1.433,123.653,2.233,0.332,0.43,0.567,29,20,0.408,0.744
Swiss,4927,verified,27,0,28,28,7,5,16.54,12.5,206.75,2.757,1.31,4.23,1.078,3.125,1.11,5.02,1.442,135.429,1.323,0.391,0.462,0.54,20,8,0.286,0.882
Swiss,42514,verified,30,0,32,32,8,5,16.55,12.51,207.04,2.364,1.31,3.64,0.872,3.128,1.12,5.01,1.437,154.559,1.323,0.369,0.459,0.547,22,10,0.312,0.756
Swiss,42513,verified,84,0,32,32,8,5,16.55,12.5,206.875,2.364,1.32,3.64,0.87,3.125,1.12,5.0,1.431,154.683,1.324,0.368,0.458,0.548,22,10,0.312,0.757
Swiss,4926,verified,32,0,42,42,9,6,16.72,12.56,210.003,2.09,0.89,3.59,0.918,2.512,0.56,4.57,1.51,199.997,1.331,0.439,0.601,0.49,25,17,0.405,0.832
Swiss,2230,verified,123,20,104,112,18,19,24.28,24.28,589.518,1.428,0.01,2.89,0.883,1.349,0.01,3.41,0.867,189.986,1.0,0.618,0.643,0.442,40,72,0.643,1.059
Swiss,2229,verified,93,20,121,127,20,16,25.24,25.26,637.562,1.328,0.01,3.78,1.028,1.684,0.06,3.19,1.087,199.196,0.999,0.774,0.645,0.413,48,79,0.622,0.789
Swiss,2234,verified,125,20,126,128,16,18,24.62,24.62,606.144,1.641,0.53,2.63,0.749,1.448,0.35,3.3,0.7,211.171,1.0,0.456,0.484,0.515,50,78,0.609,1.133
Swiss,2258,verified,102,0,95,95,13,14,24.37,24.38,594.141,2.031,0.48,3.13,0.757,1.875,1.31,3.23,0.555,159.895,1.0,0.373,0.296,0.599,44,51,0.537,1.083
Swiss,2237,verified,113,20,111,114,18,15,24.76,24.76,613.058,1.456,0.42,2.61,0.798,1.769,0.42,3.31,0.729,185.953,1.0,0.548,0.412,0.51,44,70,0.614,0.824
Swiss,2244,verified,99,0,108,108,13,14,24.14,24.16,583.222,2.012,0.65,4.92,1.061,1.858,0.57,3.32,0.778,185.178,0.999,0.527,0.419,0.514,37,71,0.657,1.082
Swiss,2252,verified,113,18,113,116,17,16,24.76,24.76,613.058,1.547,0.43,2.71,0.805,1.651,0.42,2.34,0.562,189.215,1.0,0.52,0.34,0.538,42,74,0.638,0.938
Swiss,2240,verified,99,0,94,94,15,11,24.53,24.53,601.721,1.752,0.66,3.29,0.702,2.453,0.97,3.37,0.717,156.219,1.0,0.401,0.292,0.591,41,53,0.564,0.714
Swiss,2249,verified,93,20,61,81,24,19,23.32,23.31,543.589,1.014,0.01,2.44,0.738,1.295,0.01,3.35,0.96,149.01,1.0,0.728,0.741,0.405,12,69,0.852,0.783
Swiss,2265,verified,31,29,23,43,9,25,12.71,18.73,238.058,1.589,0.01,4.71,1.51,0.78,0.02,1.36,0.316,180.628,0.679,0.951,0.405,0.424,28,15,0.349,2.036
Swiss,2267,verified,28,0,25,25,5,5,12.81,19.05,244.03,3.202,2.22,4.79,1.001,4.762,1.81,8.17,2.961,102.446,0.672,0.312,0.622,0.517,16,9,0.36,0.672
Swiss,2254,verified,86,20,50,70,21,14,23.22,23.22,539.168,1.161,0.01,2.54,0.751,1.786,0.61,3.32,0.728,129.83,1.0,0.646,0.408,0.487,16,54,0.771,0.65
Swiss,2248,verified,108,20,104,108,18,16,24.8,24.8,615.04,1.459,0.44,2.6,0.752,1.653,0.42,3.3,0.744,175.598,1.0,0.515,0.45,0.509,42,66,0.611,0.882
Swiss,2261,verified,93,20,115,119,16,18,24.85,24.84,617.274,1.657,0.42,2.71,0.766,1.461,0.38,3.3,0.942,192.783,1.0,0.462,0.645,0.475,44,75,0.63,1.134
Swiss,2227,verified,110,14,111,115,17,17,24.26,24.68,598.737,1.516,0.01,2.69,0.811,1.542,0.42,2.54,0.747,192.071,0.983,0.535,0.484,0.495,41,74,0.643,0.983
Swiss,2268,verified,32,7,26,28,6,9,12.62,18.69,235.868,2.524,0.52,4.74,1.391,2.336,0.85,6.19,2.032,118.711,0.675,0.551,0.87,0.413,17,11,0.393,1.08
Swiss,2270,verified,31,10,33,37,10,10,12.8,18.95,242.56,1.422,0.01,3.84,1.2,2.106,0.72,5.95,2.057,152.54,0.675,0.844,0.977,0.355,19,18,0.486,0.675
Swiss,2253,verified,101,20,94,98,16,16,24.33,24.33,591.949,1.622,0.32,3.82,1.082,1.622,0.33,3.81,1.153,165.555,1.0,0.667,0.711,0.421,34,64,0.653,1.0
Swiss,2263,verified,46,0,38,38,6,8,12.2,23.68,288.896,2.44,1.22,4.58,1.144,3.383,1.72,7.75,2.152,131.535,0.515,0.469,0.636,0.475,21,17,0.447,0.721
Swiss,2266,verified,32,0,28,28,5,8,12.57,19.08,239.836,3.142,2.36,4.82,0.996,2.726,0.87,6.39,2.081,116.747,0.659,0.317,0.764,0.481,17,11,0.393,1.153
Swiss,2269,verified,30,10,28,34,10,12,12.15,19.16,232.794,1.35,0.01,3.83,1.319,1.742,0.38,5.92,1.853,146.052,0.634,0.977,1.064,0.329,15,19,0.559,0.775
Swiss,2264,verified,40,12,53,59,11,16,12.71,26.25,333.638,1.271,0.01,2.67,0.925,1.75,0.01,3.89,1.108,176.839,0.484,0.728,0.633,0.424,25,34,0.576,0.726
Swiss,8428,verified,148,0,35,35,8,5,14.02,19.76,277.035,2.003,0.91,5.24,1.383,4.94,1.55,6.13,1.958,126.338,0.71,0.69,0.396,0.479,20,15,0.429,0.405
Swiss,8425,verified,50,0,48,48,8,8,13.9,19.7,273.83,1.986,0.8,5.19,1.387,2.814,0.6,6.15,2.224,175.291,0.706,0.699,0.79,0.402,21,27,0.562,0.706
Swiss,8427,verified,34,0,35,35,7,6,11.2,20.07,224.784,1.867,0.76,5.32,1.566,4.014,0.68,6.23,2.638,155.705,0.558,0.839,0.657,0.401,20,15,0.429,0.465
Swiss,8346,verified,64,0,84,84,12,8,14.11,12.84,181.172,1.283,0.25,2.36,0.572,1.834,0.41,5.2,1.879,463.647,1.099,0.446,1.024,0.405,35,49,0.583,0.699
Swiss,9602,verified,132,0,14,14,4,4,14.56,11.65,169.624,4.853,3.03,6.37,1.381,3.883,1.65,5.26,1.593,82.535,1.25,0.284,0.41,0.59,12,2,0.143,1.25
Swiss,8344,verified,74,0,26,26,6,5,17.42,12.3,214.266,3.484,0.35,7.26,2.216,3.075,1.03,5.28,1.635,121.344,1.416,0.636,0.532,0.461,16,10,0.385,1.133
Swiss,8345,verified,342,0,87,87,12,10,24.36,16.22,395.119,2.215,0.42,3.91,1.103,1.802,0.81,4.28,1.027,220.187,1.502,0.498,0.57,0.484,22,65,0.747,1.229
Swiss,8347,verified,425,0,68,68,10,8,14.88,13.33,198.35,1.653,0.28,3.76,0.979,1.904,0.54,4.91,1.82,342.828,1.116,0.592,0.956,0.392,31,37,0.544,0.868
Swiss,9601,verified,215,0,23,23,5,6,17.37,12.32,213.998,4.342,3.66,6.17,1.058,2.464,0.5,5.28,1.864,107.477,1.41,0.244,0.757,0.5,14,9,0.391,1.762
Swiss,9603,verified,21,0,21,21,5,5,11.65,10.32,120.228,2.912,1.9,4.55,0.992,2.58,1.05,4.68,1.438,174.668,1.129,0.341,0.557,0.527,16,5,0.238,1.129
Swiss,8518,verified,12,0,15,15,5,4,10.86,12.12,131.623,2.715,0.24,5.09,2.271,4.04,1.16,9.26,3.698,113.962,0.896,0.837,0.915,0.363,10,5,0.333,0.672
Swiss,8516,verified,40,0,65,65,10,8,13.44,12.24,164.506,1.493,0.29,3.8,1.09,1.749,0.36,3.51,1.006,395.123,1.098,0.73,0.575,0.434,32,33,0.508,0.854
Swiss,8517,verified,37,0,60,60,11,7,13.55,12.38,167.749,1.355,0.32,3.83,1.151,2.063,0.41,3.53,0.922,357.677,1.095,0.85,0.447,0.435,32,28,0.467,0.657
Swiss,8377,verified,35,0,12,12,3,6,4.06,19.42,78.845,2.03,1.69,2.37,0.34,3.884,0.51,13.93,5.15,152.197,0.209,0.167,1.326,0.401,9,3,0.25,0.523
Swiss,8355,verified,32,0,6,6,4,3,4.47,11.53,51.539,1.49,0.5,2.32,0.752,5.765,2.22,9.31,3.545,116.416,0.388,0.504,0.615,0.472,5,1,0.167,0.258
Swiss,8379,verified,14,0,14,14,4,5,3.09,10.62,32.816,1.03,0.19,2.54,1.07,2.655,0.42,4.12,1.404,426.624,0.291,1.039,0.529,0.389,8,6,0.429,0.388
Swiss,8378,verified,12,0,7,7,3,3,5.15,10.74,55.311,2.575,1.11,4.04,1.465,5.37,4.19,6.55,1.18,126.557,0.48,0.569,0.22,0.559,6,1,0.143,0.48
Swiss,8513,verified,76,0,8,8,2,4,10.85,22.75,246.838,10.85,10.85,10.85,0.0,7.583,0.5,18.28,7.695,32.41,0.477,0.0,1.015,0.496,8,0,0.0,1.431
Swiss,4985,verified,375,18,85,89,11,17,15.11,53.89,814.278,1.511,0.01,4.74,1.346,3.368,2.5,5.73,0.94,109.299,0.28,0.891,0.279,0.461,24,65,0.73,0.449
Swiss,5738,verified,92,5,63,65,8,15,9.2,45.1,414.92,1.314,0.05,3.26,1.044,3.221,2.22,5.73,0.819,156.657,0.204,0.794,0.254,0.488,24,41,0.631,0.408
Swiss,4865,verified,405,0,73,73,13,7,54.43,15.23,828.969,4.536,3.2,5.86,1.259,2.538,1.32,4.79,1.172,88.061,3.574,0.278,0.462,0.575,22,51,0.699,1.787
Swiss,4876,verified,139,0,110,110,8,17,15.18,54.48,827.006,2.169,1.28,4.75,1.097,3.405,2.15,5.84,1.049,133.01,0.279,0.506,0.308,0.551,32,78,0.709,0.637
Swiss,4874,verified,357,0,106,106,17,8,54.16,15.08,816.733,3.385,2.22,5.82,1.04,2.154,1.21,4.76,1.11,129.785,3.592,0.307,0.515,0.549,29,77,0.726,1.571
Swiss,4878,verified,76,0,59,59,6,13,10.79,54.16,584.386,2.158,1.26,3.17,0.83,4.513,2.15,9.11,2.56,100.961,0.199,0.385,0.567,0.512,25,34,0.576,0.478
Swiss,5771,verified,92,0,59,59,15,6,81.65,13.04,1064.716,5.832,3.24,9.07,2.298,2.608,1.86,3.74,0.73,55.414,6.262,0.394,0.28,0.597,14,45,0.763,2.236
Swiss,4872,verified,79,0,69,69,15,6,53.84,10.71,576.626,3.846,2.16,6.74,1.623,2.142,1.29,3.13,0.81,119.662,5.027,0.422,0.378,0.556,27,42,0.609,1.795
Swiss,5767,verified,291,15,64,66,8,15,9.16,45.1,413.116,1.309,0.04,3.29,1.052,3.221,2.21,5.75,0.83,159.761,0.203,0.804,0.258,0.485,24,42,0.636,0.406
Swiss,5791,verified,124,0,63,63,13,6,54.84,8.35,457.914,4.57,3.28,5.85,1.254,1.67,1.22,2.08,0.348,137.58,6.568,0.274,0.208,0.674,23,40,0.635,2.737
Swiss,5769,verified,119,5,60,61,16,6,54.35,8.29,450.561,3.623,2.2,5.8,1.142,1.658,0.1,3.28,1.036,135.387,6.556,0.315,0.625,0.516,25,36,0.59,2.185
Swiss,4877,verified,357,0,109,109,8,17,15.06,54.3,817.758,2.151,1.3,4.75,1.099,3.394,2.15,5.82,1.038,133.291,0.277,0.511,0.306,0.55,31,78,0.716,0.634
Swiss,4863,verified,54,0,58,58,6,13,10.68,44.65,476.862,2.136,1.34,3.12,0.776,3.721,0.97,6.7,1.893,121.628,0.239,0.363,0.509,0.534,24,34,0.586,0.574
Swiss,4875,verified,74,0,64,64,14,6,53.18,10.59,563.176,4.091,2.12,8.93,2.098,2.118,1.3,3.07,0.791,113.641,5.022,0.513,0.373,0.53,26,38,0.594,1.931
Swiss,4871,verified,378,0,76,76,13,7,54.34,13.08,710.767,4.528,3.22,5.79,1.237,2.18,1.27,4.8,1.208,106.927,4.154,0.273,0.554,0.547,25,51,0.671,2.077
Swiss,4984,verified,121,6,71,75,10,17,15.06,54.18,815.951,1.673,0.01,4.71,1.505,3.386,2.5,5.77,0.95,91.917,0.278,0.899,0.281,0.459,22,53,0.707,0.494
Swiss,5734,verified,549,0,76,76,19,6,81.71,17.32,1415.217,4.539,3.17,5.84,1.255,3.464,1.99,8.17,2.382,53.702,4.718,0.276,0.688,0.509,13,63,0.829,1.31
Swiss,4873,verified,126,0,96,96,15,8,54.15,15.09,817.123,3.868,2.23,5.81,1.258,2.156,1.24,4.78,1.116,117.485,3.588,0.325,0.518,0.543,26,70,0.729,1.794
Swiss,4986,verified,80,0,77,77,6,17,10.71,53.82,576.412,2.142,1.27,3.13,0.81,3.364,0.96,6.74,1.702,133.585,0.199,0.378,0.506,0.531,27,50,0.649,0.637
Swiss,5770,verified,205,0,59,59,19,5,81.81,17.38,1421.858,4.545,3.2,5.89,1.277,4.345,2.08,10.19,3.393,41.495,4.707,0.281,0.781,0.485,12,47,0.797,1.046
Swiss,4866,verified,61,0,66,66,14,6,53.42,10.62,567.32,4.109,1.01,6.71,2.048,2.124,1.28,3.1,0.784,116.336,5.03,0.498,0.369,0.535,24,42,0.636,1.935
Swiss,4517,verified,31,0,20,20,6,5,20.82,9.63,200.497,4.164,1.58,9.54,2.938,2.408,0.86,3.46,0.979,99.752,2.162,0.705,0.407,0.473,13,7,0.35,1.73
Swiss,44376,verified,352,4,26,27,6,8,21.78,19.28,419.918,4.356,0.78,6.17,1.955,2.754,0.04,5.61,1.988,64.298,1.13,0.449,0.722,0.461,15,12,0.444,1.582
Swiss,14432,verified,14,0,9,9,3,3,8.31,3.83,31.827,4.155,4.02,4.29,0.135,1.915,0.29,3.54,1.625,282.776,2.17,0.032,0.849,0.532,8,1,0.111,2.17
Swiss,14435,verified,9,0,12,12,3,4,7.98,4.03,32.159,3.99,3.99,3.99,0.0,1.343,0.14,3.44,1.488,373.141,1.98,0.0,1.108,0.474,10,2,0.167,2.97
Swiss,14439,verified,9,0,6,6,3,2,8.32,3.8,31.616,4.16,2.31,6.01,1.85,3.8,3.8,3.8,0.0,189.777,2.189,0.445,0.0,0.692,6,0,0.0,1.095
Swiss,14437,verified,12,0,12,12,3,4,8.08,3.96,31.997,4.04,3.19,4.89,0.85,1.32,0.2,3.55,1.577,375.038,2.04,0.21,1.195,0.416,10,2,0.167,3.061
Swiss,14449,verified,37,0,25,25,6,6,13.19,20.21,266.57,2.638,0.54,6.11,1.876,4.042,0.57,6.49,1.933,93.784,0.653,0.711,0.478,0.457,12,13,0.52,0.653
Swiss,14451,verified,18,0,17,17,4,5,12.54,10.89,136.561,4.18,1.99,6.18,1.716,2.722,0.46,6.25,2.423,124.487,1.152,0.41,0.89,0.435,11,6,0.353,1.535
Swiss,14445,verified,16,0,15,15,4,4,13.23,4.97,65.753,4.41,0.26,6.57,2.935,1.657,0.41,4.03,1.679,228.126,2.662,0.666,1.013,0.373,11,4,0.267,2.662
Swiss,1093,verified,20,0,18,18,4,5,11.35,13.0,147.55,3.783,2.63,5.96,1.54,3.25,1.5,8.05,2.774,121.993,0.873,0.407,0.854,0.442,12,6,0.333,1.164
Swiss,1094,verified,110,0,52,52,6,12,17.41,20.72,360.735,3.482,1.23,5.96,1.689,1.884,0.82,4.07,1.06,144.15,0.84,0.485,0.563,0.488,22,30,0.577,1.849
Swiss,1095,verified,24,0,16,16,4,7,17.46,19.71,344.137,5.82,2.83,7.6,2.127,3.285,1.43,6.66,2.363,46.493,0.886,0.365,0.719,0.48,12,4,0.25,1.772
Swiss,43047,verified,159,0,63,63,13,5,34.73,9.74,338.27,2.894,1.19,4.83,1.244,2.435,0.58,4.08,1.389,186.242,3.566,0.43,0.57,0.5,32,31,0.492,1.189
Swiss,43536,verified,47,0,28,28,9,6,22.7,14.88,337.776,2.838,1.1,8.45,2.517,2.976,1.21,5.88,1.873,82.895,1.526,0.887,0.629,0.397,14,14,0.5,0.953
Swiss,43534,verified,51,3,29,30,12,6,22.72,14.9,338.528,2.065,0.02,5.38,1.521,2.98,1.11,4.77,1.536,88.619,1.525,0.737,0.516,0.444,13,17,0.567,0.693
Swiss,43535,verified,47,0,25,25,9,5,22.72,14.9,338.528,2.84,1.1,8.45,2.517,3.725,1.21,5.88,1.713,73.849,1.525,0.886,0.46,0.426,14,11,0.44,0.762
Swiss,43533,verified,55,0,44,44,10,8,22.59,14.78,333.88,2.51,1.08,6.4,1.965,2.111,1.02,4.01,0.943,131.784,1.528,0.783,0.447,0.449,14,30,0.682,1.189
Swiss,3090,verified,140,0,49,49,16,5,61.59,36.42,2243.108,4.106,1.9,7.22,1.032,9.105,2.71,17.17,5.205,21.845,1.691,0.251,0.572,0.549,21,28,0.571,0.451
Swiss,3094,verified,112,0,10,10,5,2,45.8,8.23,376.934,11.45,2.85,16.64,5.187,8.23,8.23,8.23,0.0,26.53,5.565,0.453,0.0,0.688,10,0,0.0,1.391
Swiss,3095,verified,73,0,10,10,5,2,45.93,8.23,378.004,11.482,2.83,16.68,5.214,8.23,8.23,8.23,0.0,26.455,5.581,0.454,0.0,0.688,10,0,0.0,1.395
Swiss,3092,verified,101,0,10,10,5,2,45.77,8.24,377.145,11.442,2.83,16.62,5.19,8.24,8.24,8.24,0.0,26.515,5.555,0.454,0.0,0.688,10,0,0.0,1.389
Swiss,3096,verified,89,0,12,12,6,2,52.25,8.12,424.27,10.45,2.8,16.47,4.916,8.12,8.12,8.12,0.0,28.284,6.435,0.47,0.0,0.68,12,0,0.0,1.287
Swiss,3091,verified,242,0,45,45,16,3,61.86,26.17,1618.876,4.124,1.91,7.41,1.107,13.085,10.93,15.24,2.155,27.797,2.364,0.268,0.165,0.698,32,13,0.289,0.315
Swiss,8318,verified,224,0,74,74,6,15,14.38,59.8,859.924,2.876,1.59,4.84,1.168,4.271,1.43,6.55,1.788,86.054,0.24,0.406,0.419,0.548,25,49,0.662,0.673
Swiss,5836,verified,224,0,9,9,3,5,129.45,25.42,3290.619,64.725,4.8,124.65,59.925,6.355,2.36,10.21,2.798,2.735,5.092,0.926,0.44,0.423,6,3,0.333,10.185
Swiss,4683,verified,410,0,7,7,5,2,138.67,12.58,1744.469,34.668,4.09,122.86,50.929,12.58,12.58,12.58,0.0,4.013,11.023,1.469,0.0,0.405,7,0,0.0,2.756
Swiss,9375,verified,621,0,49,49,14,13,155.02,104.53,16204.241,11.925,4.65,16.22,4.247,8.711,5.71,18.08,3.333,3.024,1.483,0.356,0.383,0.575,6,43,0.878,1.369
Swiss,9374,verified,618,0,49,49,14,13,152.98,103.32,15805.894,11.768,4.57,16.02,4.199,8.61,5.64,17.94,3.312,3.1,1.481,0.357,0.385,0.574,6,43,0.878,1.367
Swiss,9364,verified,297,0,51,51,4,14,16.07,88.68,1425.088,5.357,3.05,7.75,1.92,6.822,3.09,7.77,1.395,35.787,0.181,0.358,0.204,0.64,27,24,0.471,0.785
Swiss,9365,verified,297,0,51,51,4,14,16.03,88.42,1417.373,5.343,3.04,7.73,1.916,6.802,3.07,7.74,1.391,35.982,0.181,0.359,0.205,0.64,27,24,0.471,0.786
Swiss,4684,verified,420,0,9,9,4,5,79.84,57.4,4582.816,26.613,15.82,47.5,14.772,14.35,3.66,30.8,10.459,1.964,1.391,0.555,0.729,0.438,8,1,0.111,1.855
Swiss,4688,verified,222,0,38,38,2,19,8.41,89.37,751.602,8.41,8.41,8.41,0.0,4.965,2.48,6.23,1.74,50.559,0.094,0.0,0.35,0.741,38,0,0.0,1.694
Swiss,42915,verified,35,0,23,23,7,4,21.18,12.55,265.809,3.53,0.82,6.91,2.526,4.183,0.78,10.51,4.478,86.528,1.688,0.715,1.07,0.359,14,9,0.391,0.844
Swiss,6030,verified,200,0,48,48,8,7,21.62,14.12,305.274,3.089,1.13,5.51,1.73,2.353,0.53,5.16,1.804,157.236,1.531,0.56,0.766,0.43,23,25,0.521,1.312
Swiss,6029,verified,42,0,41,41,7,7,22.2,14.28,317.016,3.7,1.19,5.76,1.872,2.38,0.57,5.44,2.084,129.331,1.555,0.506,0.876,0.42,21,20,0.488,1.555
Swiss,9287,verified,22,1,25,26,6,7,14.6,19.05,278.13,2.92,0.3,8.15,2.935,3.175,0.34,6.19,2.209,93.481,0.766,1.005,0.696,0.37,14,12,0.462,0.92
Swiss,9331,verified,34,0,17,17,6,3,13.45,8.07,108.542,2.69,0.79,5.57,1.729,4.035,2.97,5.1,1.065,156.622,1.667,0.643,0.264,0.524,14,3,0.176,0.667
Swiss,9330,verified,28,0,11,11,4,3,16.05,8.09,129.845,5.35,1.97,7.94,2.5,4.045,2.98,5.11,1.065,84.717,1.984,0.467,0.263,0.578,10,1,0.091,1.323
Swiss,9329,verified,29,0,13,13,5,3,16.02,8.08,129.442,4.005,0.38,7.54,2.928,4.04,2.96,5.12,1.08,100.431,1.983,0.731,0.267,0.5,12,1,0.077,0.991
Swiss,1272,verified,27,0,13,13,4,4,25.55,15.6,398.58,8.517,5.26,14.95,4.549,5.2,2.51,7.83,2.172,32.616,1.638,0.534,0.418,0.512,12,1,0.077,1.638
Swiss,1273,verified,240,0,17,17,7,4,25.57,10.23,261.581,4.262,2.6,5.35,1.075,3.41,2.46,5.24,1.294,64.989,2.5,0.252,0.38,0.613,12,5,0.294,1.25
Swiss,1274,verified,36,0,40,40,12,6,25.2,14.14,356.328,2.291,1.1,4.87,1.274,2.828,1.27,3.9,1.21,112.256,1.782,0.556,0.428,0.504,19,21,0.525,0.81
Swiss,5352,verified,318,0,109,109,8,19,12.36,46.17,570.661,1.766,1.42,3.0,0.509,2.565,0.73,4.23,1.095,191.007,0.268,0.288,0.427,0.583,27,82,0.752,0.688
Swiss,5351,verified,234,0,93,93,15,11,40.71,17.16,698.584,2.908,1.35,4.12,0.756,1.716,1.05,2.95,0.542,133.127,2.372,0.26,0.316,0.635,22,71,0.763,1.695
Swiss,41006,verified,198,0,48,48,9,7,13.49,39.98,539.33,1.686,0.69,3.02,0.771,6.663,2.82,10.0,2.946,88.999,0.337,0.457,0.442,0.526,18,30,0.625,0.253
Swiss,3522,verified,540,0,106,106,8,15,26.0,54.93,1428.18,3.714,1.12,8.16,2.678,3.924,1.72,8.15,1.413,74.22,0.473,0.721,0.36,0.48,38,68,0.642,0.947
Swiss,3521,verified,133,0,114,114,8,16,26.32,55.01,1447.863,3.76,1.01,8.21,2.677,3.667,1.35,5.06,0.908,78.737,0.478,0.712,0.248,0.51,36,78,0.684,1.025
Swiss,3524,verified,155,0,98,98,11,10,21.13,49.77,1051.64,2.113,1.31,3.72,0.816,5.53,2.28,11.15,2.709,93.188,0.425,0.386,0.49,0.533,36,62,0.633,0.382
Swiss,42766,verified,38,0,10,10,4,3,10.31,52.77,544.059,3.437,1.49,7.29,2.725,26.385,17.87,34.9,8.515,18.38,0.195,0.793,0.323,0.473,8,2,0.2,0.13
Swiss,4335,verified,76,0,18,18,6,4,14.79,77.83,1151.106,2.958,2.78,3.2,0.19,25.943,16.56,32.85,6.877,15.637,0.19,0.064,0.265,0.752,10,8,0.444,0.114
Swiss,4334,verified,38,0,18,18,6,4,14.92,77.85,1161.522,2.984,2.77,3.3,0.254,25.95,16.51,32.89,6.917,15.497,0.192,0.085,0.267,0.74,10,8,0.444,0.115
Swiss,4693,verified,210,0,35,35,6,8,18.89,12.89,243.492,3.778,1.08,6.73,2.407,1.841,0.75,3.41,1.054,143.742,1.465,0.637,0.572,0.453,18,17,0.486,2.052
Swiss,4696,verified,210,0,34,34,6,6,19.01,11.0,209.11,3.802,1.09,6.76,2.195,2.2,0.72,4.4,1.458,162.594,1.728,0.577,0.663,0.446,20,14,0.412,1.728
Swiss,4692,verified,220,0,34,34,6,6,19.06,10.99,209.469,3.812,1.09,6.8,2.204,2.198,0.74,4.39,1.458,162.315,1.734,0.578,0.663,0.446,20,14,0.412,1.734
Swiss,2411,verified,36,0,12,12,4,3,17.49,9.95,174.026,5.83,2.49,7.53,2.362,4.975,0.71,9.24,4.265,68.955,1.758,0.405,0.857,0.442,10,2,0.167,1.172
Swiss,2410,verified,84,0,48,48,8,7,18.49,11.42,211.156,2.641,0.31,4.68,1.439,1.903,0.36,4.7,1.467,227.32,1.619,0.545,0.771,0.432,20,28,0.583,1.388
Swiss,357,verified,90,0,64,64,7,13,15.64,34.18,534.575,2.607,0.75,6.3,1.996,2.848,0.68,6.48,1.363,119.721,0.458,0.766,0.478,0.446,25,39,0.609,0.915
Swiss,359,verified,492,0,58,58,7,11,16.55,28.83,477.136,2.758,0.94,6.36,1.914,2.883,0.69,6.56,1.509,121.559,0.574,0.694,0.524,0.451,19,39,0.672,0.957
Swiss,358,verified,168,0,55,55,7,11,15.71,28.7,450.877,2.618,0.74,6.34,1.893,2.87,0.67,6.51,1.495,121.984,0.547,0.723,0.521,0.446,22,33,0.6,0.912
